"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 15","Dist_Heating",2013-01-01,0,55,1,3,1,1,1,"EFHF",0.0163787969029184,55,"Low"
"Building 15","Dist_Heating",2013-01-01,1,57,1,3,1,1,1,"EFHF",0.01697438951757,55,"High"
"Building 15","Dist_Heating",2013-01-01,2,57,1,3,1,1,1,"EFHF",0.01697438951757,55,"High"
"Building 15","Dist_Heating",2013-01-01,3,56,1,3,1,1,1,"EFHF",0.0166765932102442,55,"High"
"Building 15","Dist_Heating",2013-01-01,4,54,1,3,1,1,1,"EFHF",0.0160810005955926,55,"Low"
"Building 15","Dist_Heating",2013-01-01,5,51,1,3,1,0,1,"EFHF",0.0151876116736152,55,"Low"
"Building 15","Dist_Heating",2013-01-01,6,60,1,3,1,0,1,"EFHF",0.0178677784395474,55,"High"
"Building 15","Dist_Heating",2013-01-01,7,74,1,3,1,0,1,"EFHF",0.0220369267421084,55,"High"
"Building 15","Dist_Heating",2013-01-01,8,80,1,3,1,0,1,"EFHF",0.0238237045860631,55,"High"
"Building 15","Dist_Heating",2013-01-01,9,83,1,3,1,0,1,"EFHF",0.0247170935080405,55,"High"
"Building 15","Dist_Heating",2013-01-01,10,84,1,3,1,0,1,"EFHF",0.0250148898153663,55,"High"
"Building 15","Dist_Heating",2013-01-01,11,85,1,3,1,0,1,"EFHF",0.0253126861226921,55,"High"
"Building 15","Dist_Heating",2013-01-01,12,89,1,3,1,0,1,"EFHF",0.0265038713519952,55,"High"
"Building 15","Dist_Heating",2013-01-01,13,96,1,3,1,0,1,"EFHF",0.0285884455032758,55,"High"
"Building 15","Dist_Heating",2013-01-01,14,96,1,3,1,0,1,"EFHF",0.0285884455032758,55,"High"
"Building 15","Dist_Heating",2013-01-01,15,90,1,3,1,0,1,"EFHF",0.026801667659321,55,"High"
"Building 15","Dist_Heating",2013-01-01,16,85,1,3,1,0,1,"EFHF",0.0253126861226921,55,"High"
"Building 15","Dist_Heating",2013-01-01,17,82,1,3,1,0,1,"EFHF",0.0244192972007147,55,"High"
"Building 15","Dist_Heating",2013-01-01,18,75,1,3,1,0,1,"EFHF",0.0223347230494342,55,"High"
"Building 15","Dist_Heating",2013-01-01,19,58,1,3,1,0,1,"EFHF",0.0172721858248958,55,"High"
"Building 15","Dist_Heating",2013-01-01,20,53,1,3,1,0,1,"EFHF",0.0157832042882668,55,"Low"
"Building 15","Dist_Heating",2013-01-01,21,53,1,3,1,0,1,"EFHF",0.0157832042882668,55,"Low"
"Building 15","Dist_Heating",2013-01-01,22,51,1,3,1,1,1,"EFHF",0.0151876116736152,55,"Low"
"Building 15","Dist_Heating",2013-01-01,23,51,1,3,1,1,1,"EFHF",0.0151876116736152,55,"Low"
"Building 15","Dist_Heating",2013-01-02,0,52,1,4,1,1,0,"EFHF",0.015485407980941,52.75,"Low"
"Building 15","Dist_Heating",2013-01-02,1,52,1,4,1,1,0,"EFHF",0.015485407980941,52.75,"Low"
"Building 15","Dist_Heating",2013-01-02,2,51,1,4,1,1,0,"EFHF",0.0151876116736152,52.75,"Low"
"Building 15","Dist_Heating",2013-01-02,3,53,1,4,1,1,0,"EFHF",0.0157832042882668,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,4,52,1,4,1,1,0,"EFHF",0.015485407980941,52.75,"Low"
"Building 15","Dist_Heating",2013-01-02,5,53,1,4,1,0,0,"EFHF",0.0157832042882668,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,6,60,1,4,1,0,0,"EFHF",0.0178677784395474,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,7,73,1,4,1,0,0,"EFHF",0.0217391304347826,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,8,83,1,4,1,0,0,"EFHF",0.0247170935080405,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,9,89,1,4,1,0,0,"EFHF",0.0265038713519952,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,10,89,1,4,1,0,0,"EFHF",0.0265038713519952,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,11,88,1,4,1,0,0,"EFHF",0.0262060750446694,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,12,95,1,4,1,0,0,"EFHF",0.02829064919595,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,13,102,1,4,1,0,0,"EFHF",0.0303752233472305,52.75,"High"
"Building 15","Dist_Heating",2013-01-02,14,105,1,4,1,0,0,"EFHF",0.0312686122692079,52.75,"High"
