"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 26","Dist_Heating",2013-01-01,0,168,1,3,1,1,1,"EFHF",0.0134972282477705,173.5,"Low"
"Building 26","Dist_Heating",2013-01-01,1,180,1,3,1,1,1,"EFHF",0.0144613159797542,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,2,188,1,3,1,1,1,"EFHF",0.0151040411344099,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,3,167,1,3,1,1,1,"EFHF",0.0134168876034386,173.5,"Low"
"Building 26","Dist_Heating",2013-01-01,4,170,1,3,1,1,1,"EFHF",0.0136579095364345,173.5,"Low"
"Building 26","Dist_Heating",2013-01-01,5,159,1,3,1,0,1,"EFHF",0.0127741624487828,173.5,"Low"
"Building 26","Dist_Heating",2013-01-01,6,268,1,3,1,0,1,"EFHF",0.0215312926809673,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,7,478,1,3,1,0,1,"EFHF",0.0384028279906805,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,8,478,1,3,1,0,1,"EFHF",0.0384028279906805,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,9,489,1,3,1,0,1,"EFHF",0.0392865750783321,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,10,458,1,3,1,0,1,"EFHF",0.0367960151040411,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,11,458,1,3,1,0,1,"EFHF",0.0367960151040411,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,12,470,1,3,1,0,1,"EFHF",0.0377601028360247,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,13,478,1,3,1,0,1,"EFHF",0.0384028279906805,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,14,468,1,3,1,0,1,"EFHF",0.0375994215473608,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,15,469,1,3,1,0,1,"EFHF",0.0376797621916928,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,16,468,1,3,1,0,1,"EFHF",0.0375994215473608,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,17,457,1,3,1,0,1,"EFHF",0.0367156744597092,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,18,460,1,3,1,0,1,"EFHF",0.0369566963927051,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,19,467,1,3,1,0,1,"EFHF",0.0375190809030288,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,20,240,1,3,1,0,1,"EFHF",0.0192817546396722,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,21,167,1,3,1,0,1,"EFHF",0.0134168876034386,173.5,"Low"
"Building 26","Dist_Heating",2013-01-01,22,179,1,3,1,1,1,"EFHF",0.0143809753354222,173.5,"High"
"Building 26","Dist_Heating",2013-01-01,23,158,1,3,1,1,1,"EFHF",0.0126938218044509,173.5,"Low"
"Building 26","Dist_Heating",2013-01-02,0,169,1,4,1,1,0,"EFHF",0.0135775688921025,171,"Low"
"Building 26","Dist_Heating",2013-01-02,1,167,1,4,1,1,0,"EFHF",0.0134168876034386,171,"Low"
