"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 5","Dist_Heating",2013-01-01,0,580,1,3,1,1,1,"EFHF",0.0524033249006144,575,"High"
"Building 5","Dist_Heating",2013-01-01,1,590,1,3,1,1,1,"EFHF",0.0533068305023491,575,"High"
"Building 5","Dist_Heating",2013-01-01,2,580,1,3,1,1,1,"EFHF",0.0524033249006144,575,"High"
"Building 5","Dist_Heating",2013-01-01,3,580,1,3,1,1,1,"EFHF",0.0524033249006144,575,"High"
"Building 5","Dist_Heating",2013-01-01,4,670,1,3,1,1,1,"EFHF",0.060534875316227,575,"High"
"Building 5","Dist_Heating",2013-01-01,5,820,1,3,1,0,1,"EFHF",0.0740874593422479,575,"High"
"Building 5","Dist_Heating",2013-01-01,6,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,7,930,1,3,1,0,1,"EFHF",0.08402602096133,575,"High"
"Building 5","Dist_Heating",2013-01-01,8,930,1,3,1,0,1,"EFHF",0.08402602096133,575,"High"
"Building 5","Dist_Heating",2013-01-01,9,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,10,920,1,3,1,0,1,"EFHF",0.0831225153595952,575,"High"
"Building 5","Dist_Heating",2013-01-01,11,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,12,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,13,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,14,910,1,3,1,0,1,"EFHF",0.0822190097578605,575,"High"
"Building 5","Dist_Heating",2013-01-01,15,900,1,3,1,0,1,"EFHF",0.0813155041561258,575,"High"
"Building 5","Dist_Heating",2013-01-01,16,880,1,3,1,0,1,"EFHF",0.0795084929526563,575,"High"
"Building 5","Dist_Heating",2013-01-01,17,810,1,3,1,0,1,"EFHF",0.0731839537405132,575,"High"
"Building 5","Dist_Heating",2013-01-01,18,740,1,3,1,0,1,"EFHF",0.0668594145283701,575,"High"
"Building 5","Dist_Heating",2013-01-01,19,660,1,3,1,0,1,"EFHF",0.0596313697144922,575,"High"
"Building 5","Dist_Heating",2013-01-01,20,560,1,3,1,0,1,"EFHF",0.0505963136971449,575,"Low"
"Building 5","Dist_Heating",2013-01-01,21,590,1,3,1,0,1,"EFHF",0.0533068305023491,575,"High"
"Building 5","Dist_Heating",2013-01-01,22,560,1,3,1,1,1,"EFHF",0.0505963136971449,575,"Low"
"Building 5","Dist_Heating",2013-01-01,23,550,1,3,1,1,1,"EFHF",0.0496928080954102,575,"Low"
"Building 5","Dist_Heating",2013-01-02,0,550,1,4,1,1,0,"EFHF",0.0496928080954102,565,"Low"
"Building 5","Dist_Heating",2013-01-02,1,570,1,4,1,1,0,"EFHF",0.0514998192988797,565,"High"
"Building 5","Dist_Heating",2013-01-02,2,550,1,4,1,1,0,"EFHF",0.0496928080954102,565,"Low"
"Building 5","Dist_Heating",2013-01-02,3,550,1,4,1,1,0,"EFHF",0.0496928080954102,565,"Low"
"Building 5","Dist_Heating",2013-01-02,4,670,1,4,1,1,0,"EFHF",0.060534875316227,565,"High"
"Building 5","Dist_Heating",2013-01-02,5,840,1,4,1,0,0,"EFHF",0.0758944705457174,565,"High"
"Building 5","Dist_Heating",2013-01-02,6,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,7,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,8,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,9,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,10,960,1,4,1,0,0,"EFHF",0.0867365377665342,565,"High"
"Building 5","Dist_Heating",2013-01-02,11,920,1,4,1,0,0,"EFHF",0.0831225153595952,565,"High"
"Building 5","Dist_Heating",2013-01-02,12,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,13,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,14,940,1,4,1,0,0,"EFHF",0.0849295265630647,565,"High"
"Building 5","Dist_Heating",2013-01-02,15,950,1,4,1,0,0,"EFHF",0.0858330321647994,565,"High"
"Building 5","Dist_Heating",2013-01-02,16,950,1,4,1,0,0,"EFHF",0.0858330321647994,565,"High"
"Building 5","Dist_Heating",2013-01-02,17,840,1,4,1,0,0,"EFHF",0.0758944705457174,565,"High"
"Building 5","Dist_Heating",2013-01-02,18,790,1,4,1,0,0,"EFHF",0.0713769425370437,565,"High"
"Building 5","Dist_Heating",2013-01-02,19,690,1,4,1,0,0,"EFHF",0.0623418865196964,565,"High"
"Building 5","Dist_Heating",2013-01-02,20,620,1,4,1,0,0,"EFHF",0.0560173473075533,565,"High"
"Building 5","Dist_Heating",2013-01-02,21,600,1,4,1,0,0,"EFHF",0.0542103361040838,565,"High"
