"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 28","Dist_Heating",2013-01-01,0,300,1,3,1,1,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,1,400,1,3,1,1,1,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-01,2,200,1,3,1,1,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,3,300,1,3,1,1,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,4,300,1,3,1,1,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,5,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,6,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,7,200,1,3,1,0,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,8,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,9,200,1,3,1,0,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,10,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,11,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,12,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,13,200,1,3,1,0,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,14,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,15,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,16,200,1,3,1,0,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,17,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,18,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,19,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,20,200,1,3,1,0,1,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-01,21,300,1,3,1,0,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,22,300,1,3,1,1,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-01,23,300,1,3,1,1,1,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-02,0,200,1,4,1,1,0,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-02,1,300,1,4,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-02,2,300,1,4,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-02,3,300,1,4,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-02,4,200,1,4,1,1,0,"EFHF",0.02710027100271,300,"Low"
"Building 28","Dist_Heating",2013-01-02,5,400,1,4,1,0,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-02,6,500,1,4,1,0,0,"EFHF",0.0677506775067751,300,"High"
"Building 28","Dist_Heating",2013-01-02,7,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,8,700,1,4,1,0,0,"EFHF",0.0948509485094851,300,"High"
"Building 28","Dist_Heating",2013-01-02,9,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,10,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,11,700,1,4,1,0,0,"EFHF",0.0948509485094851,300,"High"
"Building 28","Dist_Heating",2013-01-02,12,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,13,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,14,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,15,700,1,4,1,0,0,"EFHF",0.0948509485094851,300,"High"
"Building 28","Dist_Heating",2013-01-02,16,600,1,4,1,0,0,"EFHF",0.0813008130081301,300,"High"
"Building 28","Dist_Heating",2013-01-02,17,700,1,4,1,0,0,"EFHF",0.0948509485094851,300,"High"
"Building 28","Dist_Heating",2013-01-02,18,500,1,4,1,0,0,"EFHF",0.0677506775067751,300,"High"
"Building 28","Dist_Heating",2013-01-02,19,500,1,4,1,0,0,"EFHF",0.0677506775067751,300,"High"
"Building 28","Dist_Heating",2013-01-02,20,400,1,4,1,0,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-02,21,400,1,4,1,0,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-02,22,400,1,4,1,1,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-02,23,400,1,4,1,1,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-03,0,300,1,5,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-03,1,300,1,5,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-03,2,300,1,5,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-03,3,300,1,5,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-03,4,300,1,5,1,1,0,"EFHF",0.040650406504065,300,"Low"
"Building 28","Dist_Heating",2013-01-03,5,400,1,5,1,0,0,"EFHF",0.0542005420054201,300,"High"
"Building 28","Dist_Heating",2013-01-03,6,400,1,5,1,0,0,"EFHF",0.0542005420054201,300,"High"
