"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 21","Dist_Heating",2013-01-01,0,50,1,3,1,1,1,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-01,1,60,1,3,1,1,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-01,2,50,1,3,1,1,1,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-01,3,60,1,3,1,1,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-01,4,50,1,3,1,1,1,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-01,5,50,1,3,1,0,1,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-01,6,50,1,3,1,0,1,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-01,7,80,1,3,1,0,1,"EFHF",0.021978021978022,55,"High"
"Building 21","Dist_Heating",2013-01-01,8,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,9,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,10,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,11,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,12,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,13,80,1,3,1,0,1,"EFHF",0.021978021978022,55,"High"
"Building 21","Dist_Heating",2013-01-01,14,100,1,3,1,0,1,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-01,15,100,1,3,1,0,1,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-01,16,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,17,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,18,90,1,3,1,0,1,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-01,19,80,1,3,1,0,1,"EFHF",0.021978021978022,55,"High"
"Building 21","Dist_Heating",2013-01-01,20,60,1,3,1,0,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-01,21,60,1,3,1,0,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-01,22,60,1,3,1,1,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-01,23,60,1,3,1,1,1,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,0,60,1,4,1,1,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,1,60,1,4,1,1,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,2,50,1,4,1,1,0,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-02,3,60,1,4,1,1,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,4,50,1,4,1,1,0,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-02,5,50,1,4,1,0,0,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-02,6,60,1,4,1,0,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,7,80,1,4,1,0,0,"EFHF",0.021978021978022,55,"High"
"Building 21","Dist_Heating",2013-01-02,8,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,9,100,1,4,1,0,0,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-02,10,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,11,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,12,100,1,4,1,0,0,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-02,13,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,14,100,1,4,1,0,0,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-02,15,100,1,4,1,0,0,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-02,16,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,17,100,1,4,1,0,0,"EFHF",0.0274725274725275,55,"High"
"Building 21","Dist_Heating",2013-01-02,18,90,1,4,1,0,0,"EFHF",0.0247252747252747,55,"High"
"Building 21","Dist_Heating",2013-01-02,19,80,1,4,1,0,0,"EFHF",0.021978021978022,55,"High"
"Building 21","Dist_Heating",2013-01-02,20,60,1,4,1,0,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,21,60,1,4,1,0,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,22,60,1,4,1,1,0,"EFHF",0.0164835164835165,55,"High"
"Building 21","Dist_Heating",2013-01-02,23,50,1,4,1,1,0,"EFHF",0.0137362637362637,55,"Low"
"Building 21","Dist_Heating",2013-01-03,0,60,1,5,1,1,0,"EFHF",0.0164835164835165,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,1,60,1,5,1,1,0,"EFHF",0.0164835164835165,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,2,60,1,5,1,1,0,"EFHF",0.0164835164835165,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,3,60,1,5,1,1,0,"EFHF",0.0164835164835165,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,4,50,1,5,1,1,0,"EFHF",0.0137362637362637,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,5,70,1,5,1,0,0,"EFHF",0.0192307692307692,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,6,50,1,5,1,0,0,"EFHF",0.0137362637362637,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,7,100,1,5,1,0,0,"EFHF",0.0274725274725275,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,8,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,9,100,1,5,1,0,0,"EFHF",0.0274725274725275,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,10,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,11,100,1,5,1,0,0,"EFHF",0.0274725274725275,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,12,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,13,100,1,5,1,0,0,"EFHF",0.0274725274725275,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,14,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,15,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,16,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,17,110,1,5,1,0,0,"EFHF",0.0302197802197802,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,18,100,1,5,1,0,0,"EFHF",0.0274725274725275,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,19,90,1,5,1,0,0,"EFHF",0.0247252747252747,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,20,70,1,5,1,0,0,"EFHF",0.0192307692307692,62.5,"High"
"Building 21","Dist_Heating",2013-01-03,21,60,1,5,1,0,0,"EFHF",0.0164835164835165,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,22,50,1,5,1,1,0,"EFHF",0.0137362637362637,62.5,"Low"
"Building 21","Dist_Heating",2013-01-03,23,70,1,5,1,1,0,"EFHF",0.0192307692307692,62.5,"High"
"Building 21","Dist_Heating",2013-01-04,0,60,1,6,0,1,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,1,70,1,6,0,1,0,"EFHF",0.0192307692307692,65,"High"
"Building 21","Dist_Heating",2013-01-04,2,70,1,6,0,1,0,"EFHF",0.0192307692307692,65,"High"
"Building 21","Dist_Heating",2013-01-04,3,60,1,6,0,1,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,4,70,1,6,0,1,0,"EFHF",0.0192307692307692,65,"High"
"Building 21","Dist_Heating",2013-01-04,5,60,1,6,0,0,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,6,70,1,6,0,0,0,"EFHF",0.0192307692307692,65,"High"
"Building 21","Dist_Heating",2013-01-04,7,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,8,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,9,110,1,6,0,0,0,"EFHF",0.0302197802197802,65,"High"
"Building 21","Dist_Heating",2013-01-04,10,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,11,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,12,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,13,90,1,6,0,0,0,"EFHF",0.0247252747252747,65,"High"
"Building 21","Dist_Heating",2013-01-04,14,110,1,6,0,0,0,"EFHF",0.0302197802197802,65,"High"
"Building 21","Dist_Heating",2013-01-04,15,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,16,90,1,6,0,0,0,"EFHF",0.0247252747252747,65,"High"
"Building 21","Dist_Heating",2013-01-04,17,100,1,6,0,0,0,"EFHF",0.0274725274725275,65,"High"
"Building 21","Dist_Heating",2013-01-04,18,90,1,6,0,0,0,"EFHF",0.0247252747252747,65,"High"
"Building 21","Dist_Heating",2013-01-04,19,80,1,6,0,0,0,"EFHF",0.021978021978022,65,"High"
"Building 21","Dist_Heating",2013-01-04,20,60,1,6,0,0,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,21,60,1,6,0,0,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,22,60,1,6,0,1,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-04,23,60,1,6,0,1,0,"EFHF",0.0164835164835165,65,"Low"
"Building 21","Dist_Heating",2013-01-05,0,60,1,7,0,1,0,"EFHF",0.0164835164835165,72.5,"Low"
"Building 21","Dist_Heating",2013-01-05,1,70,1,7,0,1,0,"EFHF",0.0192307692307692,72.5,"Low"
"Building 21","Dist_Heating",2013-01-05,2,80,1,7,0,1,0,"EFHF",0.021978021978022,72.5,"High"
"Building 21","Dist_Heating",2013-01-05,3,70,1,7,0,1,0,"EFHF",0.0192307692307692,72.5,"Low"
"Building 21","Dist_Heating",2013-01-05,4,80,1,7,0,1,0,"EFHF",0.021978021978022,72.5,"High"
"Building 21","Dist_Heating",2013-01-05,5,80,1,7,0,0,0,"EFHF",0.021978021978022,72.5,"High"
"Building 21","Dist_Heating",2013-01-05,6,80,1,7,0,0,0,"EFHF",0.021978021978022,72.5,"High"
