"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 22","elect",2013-01-01,0,35,1,3,1,1,1,"EFHF",0.0199089874857793,36,"Low"
"Building 22","elect",2013-01-01,1,36,1,3,1,1,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,2,37,1,3,1,1,1,"EFHF",0.0210466439135381,36,"High"
"Building 22","elect",2013-01-01,3,36,1,3,1,1,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,4,36,1,3,1,1,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,5,37,1,3,1,0,1,"EFHF",0.0210466439135381,36,"High"
"Building 22","elect",2013-01-01,6,35,1,3,1,0,1,"EFHF",0.0199089874857793,36,"Low"
"Building 22","elect",2013-01-01,7,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,8,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,9,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,10,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,11,37,1,3,1,0,1,"EFHF",0.0210466439135381,36,"High"
"Building 22","elect",2013-01-01,12,35,1,3,1,0,1,"EFHF",0.0199089874857793,36,"Low"
"Building 22","elect",2013-01-01,13,35,1,3,1,0,1,"EFHF",0.0199089874857793,36,"Low"
"Building 22","elect",2013-01-01,14,37,1,3,1,0,1,"EFHF",0.0210466439135381,36,"High"
"Building 22","elect",2013-01-01,15,35,1,3,1,0,1,"EFHF",0.0199089874857793,36,"Low"
"Building 22","elect",2013-01-01,16,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,17,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,18,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,19,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,20,37,1,3,1,0,1,"EFHF",0.0210466439135381,36,"High"
"Building 22","elect",2013-01-01,21,36,1,3,1,0,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,22,36,1,3,1,1,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-01,23,36,1,3,1,1,1,"EFHF",0.0204778156996587,36,"Low"
"Building 22","elect",2013-01-02,0,36,1,4,1,1,0,"EFHF",0.0204778156996587,35.5,"High"
"Building 22","elect",2013-01-02,1,36,1,4,1,1,0,"EFHF",0.0204778156996587,35.5,"High"
"Building 22","elect",2013-01-02,2,36,1,4,1,1,0,"EFHF",0.0204778156996587,35.5,"High"
"Building 22","elect",2013-01-02,3,37,1,4,1,1,0,"EFHF",0.0210466439135381,35.5,"High"
"Building 22","elect",2013-01-02,4,35,1,4,1,1,0,"EFHF",0.0199089874857793,35.5,"Low"
