"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 16","Dist_Heating",2013-01-01,0,80,1,3,1,1,1,"EFHF",0.0244798041615667,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,1,70,1,3,1,1,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,2,90,1,3,1,1,1,"EFHF",0.0275397796817625,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,3,70,1,3,1,1,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,4,60,1,3,1,1,1,"EFHF",0.018359853121175,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,5,70,1,3,1,0,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,6,70,1,3,1,0,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,7,120,1,3,1,0,1,"EFHF",0.0367197062423501,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,8,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,9,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,10,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,11,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,12,150,1,3,1,0,1,"EFHF",0.0458996328029376,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,13,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,14,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,15,150,1,3,1,0,1,"EFHF",0.0458996328029376,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,16,140,1,3,1,0,1,"EFHF",0.0428396572827417,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,17,80,1,3,1,0,1,"EFHF",0.0244798041615667,77.5,"High"
"Building 16","Dist_Heating",2013-01-01,18,70,1,3,1,0,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,19,70,1,3,1,0,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,20,70,1,3,1,0,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,21,60,1,3,1,0,1,"EFHF",0.018359853121175,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,22,70,1,3,1,1,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-01,23,70,1,3,1,1,1,"EFHF",0.0214198286413709,77.5,"Low"
"Building 16","Dist_Heating",2013-01-02,0,60,1,4,1,1,0,"EFHF",0.018359853121175,65,"Low"
"Building 16","Dist_Heating",2013-01-02,1,70,1,4,1,1,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,2,60,1,4,1,1,0,"EFHF",0.018359853121175,65,"Low"
"Building 16","Dist_Heating",2013-01-02,3,70,1,4,1,1,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,4,60,1,4,1,1,0,"EFHF",0.018359853121175,65,"Low"
"Building 16","Dist_Heating",2013-01-02,5,70,1,4,1,0,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,6,80,1,4,1,0,0,"EFHF",0.0244798041615667,65,"High"
"Building 16","Dist_Heating",2013-01-02,7,130,1,4,1,0,0,"EFHF",0.0397796817625459,65,"High"
"Building 16","Dist_Heating",2013-01-02,8,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,9,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,10,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,11,150,1,4,1,0,0,"EFHF",0.0458996328029376,65,"High"
"Building 16","Dist_Heating",2013-01-02,12,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,13,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,14,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,15,150,1,4,1,0,0,"EFHF",0.0458996328029376,65,"High"
"Building 16","Dist_Heating",2013-01-02,16,140,1,4,1,0,0,"EFHF",0.0428396572827417,65,"High"
"Building 16","Dist_Heating",2013-01-02,17,90,1,4,1,0,0,"EFHF",0.0275397796817625,65,"High"
"Building 16","Dist_Heating",2013-01-02,18,70,1,4,1,0,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,19,70,1,4,1,0,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,20,70,1,4,1,0,0,"EFHF",0.0214198286413709,65,"High"
"Building 16","Dist_Heating",2013-01-02,21,60,1,4,1,0,0,"EFHF",0.018359853121175,65,"Low"
"Building 16","Dist_Heating",2013-01-02,22,70,1,4,1,1,0,"EFHF",0.0214198286413709,65,"High"
