"vac","type","date","hour","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class"
"Building 25","Dist_Heating",2013-01-01,0,52,1,3,1,1,1,"EFHF",0.0137931034482759,46.75,"High"
"Building 25","Dist_Heating",2013-01-01,1,45,1,3,1,1,1,"EFHF",0.0119363395225464,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,2,46,1,3,1,1,1,"EFHF",0.0122015915119363,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,3,47,1,3,1,1,1,"EFHF",0.0124668435013263,46.75,"High"
"Building 25","Dist_Heating",2013-01-01,4,42,1,3,1,1,1,"EFHF",0.0111405835543767,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,5,35,1,3,1,0,1,"EFHF",0.00928381962864721,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,6,34,1,3,1,0,1,"EFHF",0.00901856763925729,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,7,39,1,3,1,0,1,"EFHF",0.0103448275862069,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,8,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,9,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,10,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,11,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,12,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,13,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,14,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,15,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,16,43,1,3,1,0,1,"EFHF",0.0114058355437666,46.75,"Low"
"Building 25","Dist_Heating",2013-01-01,17,42,1,3,1,0,1,"EFHF",0.0111405835543767,46.75,"Low"
