Institution Name,DT,ID_RSSD,Total Exposures,Intra-Financial System Assets,Intra-Financial System Liabilities,Securities Outstanding,Payments,Assets Under Custody,Underwriting,OTC Derivatives,Trading and AFS Securities,Level 3 Assets,Cross-Jurisdictional Claims,Cross-Jurisdictional Liabilities,Qtr_Year
JPMORGAN CHASE & CO.                                                                                                    ,20131231,1039502,3569551800,421963000,544258000,598997000,3.21E+11,21320085000,507734000,68003662000,446323000,69310000,692557000,673734000,2013
KEYCORP                                                                                                                 ,20131231,1068025,134368815,6166322,724429,26156038,983712092,82230813,5378568,61561347,1643516,2764842,2218000,27000,2013
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,20131231,1068191,64612414,1550416,313497,15666103,302706092,79935242,941584,7580239,2909136,883774,834000,0,2013
"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",20131231,1069778,425387038,17703000,13135000,67592500,2004252000,161000000,10044000,251979000,25920729,10635103,4895000,1989000,2013
FIFTH THIRD BANCORP                                                                                                     ,20131231,1070345,174422686,4097911,8942647,37550497,1186752164,240024096,5427541,63886559,6808392,488519,4407000,562000,2013
BANK OF AMERICA CORPORATION                                                                                             ,20131231,1073757,2695636963,293938659,219926538,488785261,83704983990,136190000,390267400,54887232052,203137926,31779000,387493000,245722000,2013
BB&T CORPORATION                                                                                                        ,20131231,1074156,212387101,1470983,10316636,68851721,972398497,34913368,5511033,59275901,4024306,2201678,634000,1409000,2013
"BBVA COMPASS BANCSHARES, INC.                                                                                           ",20131231,1078529,100957343,3574690,2381339,12790829,198758140,3069315,79954814,18058780,1088734,32663,860000,1864000,2013
STATE STREET CORPORATION                                                                                                ,20131231,1111435,345428170,30393031,209263087,42822162,59122189977,20411068000,0,1141088650,53759419,7563618,47446989,124911000,2013
U.S. BANCORP                                                                                                            ,20131231,1119794,524636200,11460000,21887000,138882000,6918228000,959466000,17199000,106000000,12961000,4042000,3297000,33759000,2013
WELLS FARGO & COMPANY                                                                                                   ,20131231,1120754,1961304700,110263000,128896000,507718000,28761213000,2400000000,85947000,4879596000,127761000,37171000,70104000,130239000,2013
"SUNTRUST BANKS, INC.                                                                                                    ",20131231,1131787,229448402,3490975,1307524,49991783,643952046,64437735,11251064,182526575,14987093,2629843,1643000,2002234,2013
"RBS CITIZENS FINANCIAL GROUP, INC.                                                                                      ",20131231,1132449,146082291,3777723,3609774,1350000,2816151155,6723995,0,43162955,869364,735,1689000,954000,2013
NORTHERN TRUST CORPORATION                                                                                              ,20131231,1199611,142399203,43593978,12215420,16241617,32997307763,5575700000,0,254851428,11761216,98930,28277000,51357603,2013
COMERICA INCORPORATED                                                                                                   ,20131231,1199844,98084049,8430610,4241765,17245465,245756383,53084403,1484000,20538469,1682347,161518,1790000,1759000,2013
BMO FINANCIAL CORP.                                                                                                     ,20131231,1245415,162934993,15723663,957768,25682190,5244697795,257113000,8304437,21976500,10560869,78116,6756000,5772000,2013
